City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
171,Linxia,CN,2020-09-27 00:37:26,35.6,103.21,56.97,72,17,2.95,few clouds
172,Tateyama,JP,2020-09-27 00:37:26,34.98,139.87,70.0,83,75,11.41,broken clouds
173,Aripuana,BR,2020-09-27 00:37:26,-9.17,-60.63,76.21,73,6,1.68,clear sky
174,Waddan,LY,2020-09-27 00:37:26,29.16,16.14,71.31,87,1,9.98,clear sky
175,Swellendam,ZA,2020-09-27 00:37:27,-34.02,20.44,46.4,87,0,9.17,clear sky
176,Mayo,US,2020-09-27 00:37:27,38.89,-76.51,70.0,100,90,3.36,overcast clouds
177,Piacabucu,BR,2020-09-27 00:37:27,-10.41,-36.43,74.39,85,0,8.66,clear sky
178,Qaqortoq,GL,2020-09-27 00:37:27,60.72,-46.03,33.8,64,0,1.66,clear sky
179,Bluefield,US,2020-09-27 00:36:04,37.27,-81.22,63.0,93,90,3.36,overcast clouds
180,Reitz,ZA,2020-09-27 00:37:27,-27.8,28.43,39.74,51,0,4.97,clear sky
181,Nemuro,JP,2020-09-27 00:37:28,43.32,145.57,57.2,93,75,16.11,mist
182,Ginir,ET,2020-09-27 00:37:28,7.13,40.7,58.44,91,23,5.93,few clouds
183,Northam,GB,2020-09-27 00:37:28,51.03,-4.22,53.01,77,0,8.99,clear sky
184,Lavrentiya,RU,2020-09-27 00:37:28,65.58,-171.0,37.44,77,76,16.84,broken clouds
185,Gigmoto,PH,2020-09-27 00:37:28,13.78,124.39,86.5,69,100,4.07,overcast clouds
186,Bulungu,CD,2020-09-27 00:37:28,-4.55,18.6,73.31,80,81,1.39,broken clouds
187,Ulaangom,MN,2020-09-27 00:37:29,49.98,92.07,42.84,58,47,4.74,scattered clouds
188,Ilulissat,GL,2020-09-27 00:36:08,69.22,-51.1,32.0,98,75,6.93,broken clouds
189,Cam Ranh,VN,2020-09-27 00:37:29,11.92,109.16,80.6,88,75,3.36,broken clouds
190,Kirakira,SB,2020-09-27 00:37:29,-10.45,161.92,84.94,72,73,13.51,broken clouds
191,Kankon,IN,2020-09-27 00:37:29,15.02,74.02,77.0,100,75,2.24,drizzle
192,Sarkand,KZ,2020-09-27 00:37:29,45.41,79.92,38.41,65,0,1.28,clear sky
193,Nelson Bay,AU,2020-09-27 00:37:30,-32.72,152.15,63.0,41,0,13.87,clear sky
194,Acapulco,MX,2020-09-27 00:37:30,16.86,-99.89,84.2,74,75,4.7,broken clouds
195,Mount Isa,AU,2020-09-27 00:33:41,-20.73,139.5,78.8,14,0,12.75,clear sky
196,Hare Bay,CA,2020-09-27 00:37:30,48.85,-54.01,51.8,53,75,8.05,broken clouds
197,Ust-Maya,RU,2020-09-27 00:37:30,60.42,134.53,54.64,57,100,13.02,overcast clouds
198,Sol-Iletsk,RU,2020-09-27 00:37:31,51.16,54.99,46.33,56,0,4.27,clear sky
199,Neryungri,RU,2020-09-27 00:37:31,56.67,124.65,48.33,65,100,15.5,overcast clouds
200,Khowai,IN,2020-09-27 00:37:31,24.1,91.63,77.0,100,40,2.24,mist
201,Mirnyy,RU,2020-09-27 00:37:31,62.54,113.96,33.8,100,1,11.18,haze
202,Puerto Carreno,CO,2020-09-27 00:33:20,6.19,-67.49,78.69,82,42,4.76,scattered clouds
203,Sierra Vista,US,2020-09-27 00:37:31,31.55,-110.3,89.6,13,1,11.41,clear sky
204,San Quintin,MX,2020-09-27 00:37:32,30.48,-115.95,70.0,75,2,7.18,clear sky
205,Qingdao,CN,2020-09-27 00:37:32,36.1,120.37,72.0,77,0,2.24,clear sky
206,Launceston,AU,2020-09-27 00:37:32,-41.45,147.17,55.99,46,90,4.7,overcast clouds
207,Torbay,CA,2020-09-27 00:35:20,47.67,-52.73,53.01,71,20,16.11,few clouds
208,Kondopoga,RU,2020-09-27 00:37:32,62.21,34.26,44.6,93,0,2.24,clear sky
209,Churapcha,RU,2020-09-27 00:37:32,62.0,132.43,54.28,63,100,17.02,overcast clouds
210,Jamestown,US,2020-09-27 00:33:12,42.1,-79.24,66.99,77,1,5.82,clear sky
211,Asyut,EG,2020-09-27 00:37:33,27.18,31.18,75.2,50,3,9.17,clear sky
212,Gizo,SB,2020-09-27 00:37:33,-8.1,156.84,84.74,69,0,5.77,clear sky
213,Sabha,LY,2020-09-27 00:37:33,27.04,14.43,80.8,20,0,5.93,clear sky
214,Tigil,RU,2020-09-27 00:37:33,57.8,158.67,51.28,51,0,8.46,clear sky
215,Alyangula,AU,2020-09-27 00:37:34,-13.85,136.42,87.8,45,45,8.05,scattered clouds
216,Mana,GF,2020-09-27 00:37:34,5.66,-53.78,79.14,83,32,8.97,scattered clouds
217,Kijang,KR,2020-09-27 00:37:34,35.24,129.21,69.8,60,40,17.22,scattered clouds
218,San Policarpo,PH,2020-09-27 00:37:34,12.18,125.51,84.0,77,71,6.46,broken clouds
219,Ponta Do Sol,PT,2020-09-27 00:37:34,32.67,-17.1,71.6,60,40,10.29,scattered clouds
220,Mongoumba,CF,2020-09-27 00:37:34,3.64,18.59,69.01,97,100,1.83,light rain
221,Amapa,BR,2020-09-27 00:37:35,1.0,-52.0,77.07,75,100,5.06,overcast clouds
222,Alice Springs,AU,2020-09-27 00:33:11,-23.7,133.88,75.0,20,49,12.75,scattered clouds
223,Port Hedland,AU,2020-09-27 00:37:35,-20.32,118.57,80.6,36,0,10.29,clear sky
224,Lagoa,PT,2020-09-27 00:33:35,39.05,-27.98,69.4,85,0,15.01,clear sky
225,Chitapur,IN,2020-09-27 00:37:35,17.12,77.08,72.07,93,100,7.14,overcast clouds
226,Victoria,HK,2020-09-27 00:37:20,22.29,114.16,82.0,85,100,21.0,overcast clouds
227,Tiarei,PF,2020-09-27 00:33:07,-17.53,-149.33,86.0,62,20,6.93,few clouds
228,Bilma,NE,2020-09-27 00:37:36,18.69,12.92,83.61,15,49,0.31,scattered clouds
229,Gogrial,SS,2020-09-27 00:37:36,8.53,28.1,72.81,89,98,2.73,light rain
230,Harper,LR,2020-09-27 00:37:36,4.38,-7.72,75.96,89,70,7.85,light rain
231,Nanortalik,GL,2020-09-27 00:37:36,60.14,-45.24,37.94,83,0,12.84,clear sky
232,Katsuura,JP,2020-09-27 00:36:07,35.13,140.3,69.01,84,100,11.77,light rain
233,Imbituba,BR,2020-09-27 00:37:37,-28.24,-48.67,69.8,88,40,5.82,scattered clouds
234,Krasnaya Gora,RU,2020-09-27 00:37:37,53.0,31.6,64.4,55,0,13.42,clear sky
235,Kantang,TH,2020-09-27 00:33:00,7.41,99.52,77.0,94,20,5.73,few clouds
236,Borisoglebsk,RU,2020-09-27 00:37:37,51.37,42.08,50.49,48,0,11.65,clear sky
237,Port Elizabeth,ZA,2020-09-27 00:33:30,-33.92,25.57,50.0,76,40,6.93,scattered clouds
238,Rosetta,EG,2020-09-27 00:37:37,31.4,30.42,77.0,73,0,4.7,clear sky
239,Boa Vista,BR,2020-09-27 00:35:14,2.82,-60.67,87.8,52,20,3.36,few clouds
240,Marzuq,YE,2020-09-27 00:37:38,14.4,46.47,76.59,52,0,1.68,clear sky
241,Ahipara,NZ,2020-09-27 00:34:25,-35.17,173.17,62.89,65,0,15.21,clear sky
242,Rapid Valley,US,2020-09-27 00:37:38,44.06,-103.15,64.4,31,20,11.41,few clouds
243,Sao Joao Da Barra,BR,2020-09-27 00:33:30,-21.64,-41.05,73.94,86,0,19.62,clear sky
244,Singaraja,ID,2020-09-27 00:37:38,-8.11,115.09,84.76,53,69,2.33,broken clouds
245,Axim,GH,2020-09-27 00:37:39,4.87,-2.24,74.68,92,83,8.05,broken clouds
246,Tromso,NO,2020-09-27 00:37:39,69.65,18.96,37.4,86,40,11.41,scattered clouds
247,Sile,TR,2020-09-27 00:37:39,41.18,29.61,75.99,57,41,7.0,scattered clouds
248,Gushikawa,JP,2020-09-27 00:37:39,26.35,127.87,71.6,88,90,3.36,light intensity drizzle
249,Trogir,HR,2020-09-27 00:37:40,43.51,16.25,53.6,71,100,8.05,overcast clouds
250,Fortuna,US,2020-09-27 00:33:10,40.6,-124.16,70.0,77,40,12.75,scattered clouds
251,Adeje,ES,2020-09-27 00:37:40,28.12,-16.73,75.0,78,20,12.75,few clouds
252,Bidar,IN,2020-09-27 00:37:40,17.9,77.55,71.22,93,100,4.81,overcast clouds
253,Lagos,NG,2020-09-27 00:34:28,6.58,3.75,75.25,90,100,7.4,moderate rain
254,Murray Bridge,AU,2020-09-27 00:37:40,-35.12,139.27,53.01,75,5,2.08,clear sky
255,Lebu,CL,2020-09-27 00:37:41,-37.62,-73.65,49.1,89,31,8.81,scattered clouds
256,Kawalu,ID,2020-09-27 00:37:41,-7.38,108.21,77.05,77,100,2.71,overcast clouds
257,Slobodskoy,RU,2020-09-27 00:37:41,58.73,50.18,44.55,94,0,3.38,clear sky
258,Pervomayskiy,RU,2020-09-27 00:37:41,53.25,40.29,52.41,45,10,12.77,clear sky
259,North Bend,US,2020-09-27 00:37:42,43.41,-124.22,68.0,88,20,10.29,few clouds
260,Elizabeth City,US,2020-09-27 00:37:42,36.29,-76.25,73.4,100,20,5.82,few clouds
261,Taksimo,RU,2020-09-27 00:37:42,56.34,114.88,42.6,80,100,5.66,light rain
262,Chapleau,CA,2020-09-27 00:37:42,47.84,-83.4,62.6,93,90,6.93,light rain
263,Melito Di Porto Salvo,IT,2020-09-27 00:37:42,37.92,15.77,69.01,82,75,2.24,broken clouds
264,Half Moon Bay,US,2020-09-27 00:33:40,37.46,-122.43,80.6,72,1,16.11,haze
265,North Platte,US,2020-09-27 00:37:43,41.12,-100.77,75.2,27,20,18.34,few clouds
266,Alghero,IT,2020-09-27 00:33:27,40.56,8.32,60.8,93,20,3.36,few clouds
267,Broome,US,2020-09-27 00:37:43,42.25,-75.83,64.99,100,90,5.82,overcast clouds
268,Airai,TL,2020-09-27 00:34:02,-8.93,125.41,75.43,42,93,5.21,overcast clouds
269,Ushumun,RU,2020-09-27 00:37:43,52.78,126.53,55.51,95,100,10.49,heavy intensity rain
270,Abnub,EG,2020-09-27 00:37:43,27.27,31.15,75.2,50,5,9.17,clear sky
271,Lodwar,KE,2020-09-27 00:37:44,3.12,35.6,81.46,47,2,12.5,clear sky
